Title,Author,Year,Journal,Country,Domain,Abstract
Monitoring Systems for Engineered Landfill Sites - Case Study 20,Rohit Maurya,2015,Waste Management,Brazil,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 20 in Brazil."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 21,David Kim,2020,Waste Management,Brazil,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 21 in Brazil."
Seismic Impact on Landfill Stability - Case Study 22,Jane Smith,2015,Geotextiles and Geomembranes,Canada,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 22 in Canada."
Monitoring Systems for Engineered Landfill Sites - Case Study 23,Amit Patel,2023,Geotextiles and Geomembranes,USA,Security,"This study explores the security aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 23 in USA."
Performance of Geosynthetic Clay Liners in Landfill Systems - Case Study 24,Maria Garcia,2023,Environmental Geotechnics,Germany,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on performance of geosynthetic clay liners in landfill systems - case study 24 in Germany."
Seismic Impact on Landfill Stability - Case Study 25,Amit Patel,2020,Geotextiles and Geomembranes,Germany,Effect,"This study explores the effect aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 25 in Germany."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 26,Alex Tan,2022,Waste Management,Australia,Effect,"This study explores the effect aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 26 in Australia."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 27,Jane Smith,2019,Civil Engineering Journal,China,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 27 in China."
Seismic Impact on Landfill Stability - Case Study 28,Rohit Maurya,2022,Journal of Hazardous Materials,Germany,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 28 in Germany."
Smart Sensor Integration for Leachate Monitoring - Case Study 29,Alex Tan,2021,Geotextiles and Geomembranes,UK,Security,"This study explores the security aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 29 in UK."
Design Optimization of Engineered Landfill Liners - Case Study 30,John Doe,2015,Journal of Hazardous Materials,Canada,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on design optimization of engineered landfill liners - case study 30 in Canada."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 31,Amit Patel,2024,Journal of Hazardous Materials,China,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 31 in China."
AI-Based Prediction Models for Leachate Generation - Case Study 32,Chen Li,2015,Environmental Geotechnics,Germany,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 32 in Germany."
Smart Sensor Integration for Leachate Monitoring - Case Study 33,John Doe,2016,Journal of Hazardous Materials,France,Material,"This study explores the material aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 33 in France."
Monitoring Systems for Engineered Landfill Sites - Case Study 34,Alex Tan,2022,Journal of Hazardous Materials,Australia,Design,"This study explores the design aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 34 in Australia."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 35,Fatima Noor,2015,Geotextiles and Geomembranes,UK,Security,"This study explores the security aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 35 in UK."
Smart Sensor Integration for Leachate Monitoring - Case Study 36,Lu Wei,2016,Journal of Hazardous Materials,China,Effect,"This study explores the effect aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 36 in China."
AI-Based Prediction Models for Leachate Generation - Case Study 37,Fatima Noor,2022,Waste Management,France,Security,"This study explores the security aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 37 in France."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 38,Amit Patel,2024,Journal of Hazardous Materials,India,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 38 in India."
Geotechnical Analysis of Landfill Slope Stability - Case Study 39,Jane Smith,2023,Journal of Hazardous Materials,Germany,Design,"This study explores the design aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 39 in Germany."
AI-Based Prediction Models for Leachate Generation - Case Study 40,Chen Li,2016,Geotextiles and Geomembranes,UK,Security,"This study explores the security aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 40 in UK."
Use of Recycled Materials in Landfill Cover Systems - Case Study 41,John Doe,2018,Geotextiles and Geomembranes,Canada,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 41 in Canada."
Monitoring Systems for Engineered Landfill Sites - Case Study 42,Fatima Noor,2024,Geotextiles and Geomembranes,India,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 42 in India."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 43,Lu Wei,2019,Geotextiles and Geomembranes,UK,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 43 in UK."
Design Optimization of Engineered Landfill Liners - Case Study 44,John Doe,2021,Civil Engineering Journal,Australia,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on design optimization of engineered landfill liners - case study 44 in Australia."
Monitoring Systems for Engineered Landfill Sites - Case Study 45,Fatima Noor,2022,Civil Engineering Journal,UK,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 45 in UK."
Use of Recycled Materials in Landfill Cover Systems - Case Study 46,Lu Wei,2024,Environmental Geotechnics,China,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 46 in China."
AI-Based Prediction Models for Leachate Generation - Case Study 47,John Doe,2015,Environmental Geotechnics,France,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 47 in France."
Seismic Impact on Landfill Stability - Case Study 48,Chen Li,2015,Civil Engineering Journal,France,Design,"This study explores the design aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 48 in France."
Geotechnical Analysis of Landfill Slope Stability - Case Study 49,Fatima Noor,2023,Civil Engineering Journal,Canada,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 49 in Canada."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 50,Fatima Noor,2017,Civil Engineering Journal,France,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 50 in France."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 51,Fatima Noor,2018,Journal of Hazardous Materials,Germany,Security,"This study explores the security aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 51 in Germany."
Seismic Impact on Landfill Stability - Case Study 52,John Doe,2022,Journal of Hazardous Materials,Japan,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 52 in Japan."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 53,Alex Tan,2022,Geotextiles and Geomembranes,France,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 53 in France."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 54,Jane Smith,2024,Journal of Hazardous Materials,China,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 54 in China."
Seismic Impact on Landfill Stability - Case Study 55,John Doe,2015,Waste Management,China,Material,"This study explores the material aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 55 in China."
Use of Recycled Materials in Landfill Cover Systems - Case Study 56,Alex Tan,2022,Civil Engineering Journal,Germany,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 56 in Germany."
Design Optimization of Engineered Landfill Liners - Case Study 57,Fatima Noor,2021,Journal of Hazardous Materials,USA,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on design optimization of engineered landfill liners - case study 57 in USA."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 58,Rohit Maurya,2019,Waste Management,Canada,Security,"This study explores the security aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 58 in Canada."
Monitoring Systems for Engineered Landfill Sites - Case Study 59,Maria Garcia,2018,Waste Management,Australia,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 59 in Australia."
Design Optimization of Engineered Landfill Liners - Case Study 60,Chen Li,2022,Geotextiles and Geomembranes,Germany,Design,"This study explores the design aspects of engineered landfills, focusing on design optimization of engineered landfill liners - case study 60 in Germany."
Use of Recycled Materials in Landfill Cover Systems - Case Study 61,Rohit Maurya,2016,Waste Management,Canada,Design,"This study explores the design aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 61 in Canada."
Seismic Impact on Landfill Stability - Case Study 62,David Kim,2024,Journal of Hazardous Materials,UK,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 62 in UK."
Geotechnical Analysis of Landfill Slope Stability - Case Study 63,Jane Smith,2023,Environmental Geotechnics,USA,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 63 in USA."
Smart Sensor Integration for Leachate Monitoring - Case Study 64,Alex Tan,2019,Civil Engineering Journal,Germany,Effect,"This study explores the effect aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 64 in Germany."
Smart Sensor Integration for Leachate Monitoring - Case Study 65,Lu Wei,2023,Geotextiles and Geomembranes,Canada,Material,"This study explores the material aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 65 in Canada."
Monitoring Systems for Engineered Landfill Sites - Case Study 66,Amit Patel,2019,Environmental Geotechnics,Australia,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 66 in Australia."
Smart Sensor Integration for Leachate Monitoring - Case Study 67,Lu Wei,2020,Geotextiles and Geomembranes,Australia,Design,"This study explores the design aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 67 in Australia."
Monitoring Systems for Engineered Landfill Sites - Case Study 68,Lu Wei,2015,Waste Management,Canada,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 68 in Canada."
AI-Based Prediction Models for Leachate Generation - Case Study 69,John Doe,2019,Civil Engineering Journal,France,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 69 in France."
Geotechnical Analysis of Landfill Slope Stability - Case Study 70,David Kim,2017,Civil Engineering Journal,Germany,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 70 in Germany."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 71,Jane Smith,2018,Journal of Hazardous Materials,Japan,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 71 in Japan."
Monitoring Systems for Engineered Landfill Sites - Case Study 72,David Kim,2021,Civil Engineering Journal,Brazil,Security,"This study explores the security aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 72 in Brazil."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 73,Alex Tan,2020,Environmental Geotechnics,Brazil,Design,"This study explores the design aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 73 in Brazil."
AI-Based Prediction Models for Leachate Generation - Case Study 74,Jane Smith,2021,Civil Engineering Journal,Germany,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 74 in Germany."
Design Optimization of Engineered Landfill Liners - Case Study 75,David Kim,2015,Geotextiles and Geomembranes,India,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on design optimization of engineered landfill liners - case study 75 in India."
Use of Recycled Materials in Landfill Cover Systems - Case Study 76,Maria Garcia,2017,Geotextiles and Geomembranes,Australia,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 76 in Australia."
Seismic Impact on Landfill Stability - Case Study 77,John Doe,2023,Civil Engineering Journal,China,Material,"This study explores the material aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 77 in China."
Geotechnical Analysis of Landfill Slope Stability - Case Study 78,Jane Smith,2024,Civil Engineering Journal,India,Security,"This study explores the security aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 78 in India."
Use of Recycled Materials in Landfill Cover Systems - Case Study 79,Jane Smith,2022,Journal of Hazardous Materials,Australia,Effect,"This study explores the effect aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 79 in Australia."
Seismic Impact on Landfill Stability - Case Study 80,Jane Smith,2016,Environmental Geotechnics,France,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 80 in France."
Performance of Geosynthetic Clay Liners in Landfill Systems - Case Study 81,Alex Tan,2019,Journal of Hazardous Materials,USA,Material,"This study explores the material aspects of engineered landfills, focusing on performance of geosynthetic clay liners in landfill systems - case study 81 in USA."
Monitoring Systems for Engineered Landfill Sites - Case Study 82,Chen Li,2024,Environmental Geotechnics,China,Material,"This study explores the material aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 82 in China."
AI-Based Prediction Models for Leachate Generation - Case Study 83,Alex Tan,2018,Geotextiles and Geomembranes,Germany,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 83 in Germany."
Performance of Geosynthetic Clay Liners in Landfill Systems - Case Study 84,Fatima Noor,2018,Geotextiles and Geomembranes,China,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on performance of geosynthetic clay liners in landfill systems - case study 84 in China."
Seismic Impact on Landfill Stability - Case Study 85,Amit Patel,2017,Geotextiles and Geomembranes,USA,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 85 in USA."
Geotechnical Analysis of Landfill Slope Stability - Case Study 86,Lu Wei,2016,Civil Engineering Journal,India,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 86 in India."
Performance of Geosynthetic Clay Liners in Landfill Systems - Case Study 87,Jane Smith,2017,Waste Management,Brazil,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on performance of geosynthetic clay liners in landfill systems - case study 87 in Brazil."
Use of Recycled Materials in Landfill Cover Systems - Case Study 88,Lu Wei,2023,Geotextiles and Geomembranes,UK,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 88 in UK."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 89,John Doe,2015,Waste Management,France,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 89 in France."
Use of Recycled Materials in Landfill Cover Systems - Case Study 90,John Doe,2019,Civil Engineering Journal,Canada,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 90 in Canada."
Geotechnical Analysis of Landfill Slope Stability - Case Study 91,John Doe,2017,Waste Management,Brazil,Effect,"This study explores the effect aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 91 in Brazil."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 92,Lu Wei,2022,Civil Engineering Journal,China,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 92 in China."
Seismic Impact on Landfill Stability - Case Study 93,Rohit Maurya,2020,Waste Management,Japan,Design,"This study explores the design aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 93 in Japan."
AI-Based Prediction Models for Leachate Generation - Case Study 94,Lu Wei,2023,Civil Engineering Journal,UK,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 94 in UK."
Seismic Impact on Landfill Stability - Case Study 95,Fatima Noor,2024,Waste Management,Canada,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 95 in Canada."
Smart Sensor Integration for Leachate Monitoring - Case Study 96,Fatima Noor,2023,Geotextiles and Geomembranes,France,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 96 in France."
Geotechnical Analysis of Landfill Slope Stability - Case Study 97,Fatima Noor,2022,Civil Engineering Journal,Canada,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 97 in Canada."
Use of Recycled Materials in Landfill Cover Systems - Case Study 98,Alex Tan,2023,Civil Engineering Journal,UK,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 98 in UK."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 99,Lu Wei,2021,Journal of Hazardous Materials,UK,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 99 in UK."
Design Optimization of Engineered Landfill Liners - Case Study 100,Maria Garcia,2020,Journal of Hazardous Materials,Canada,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on design optimization of engineered landfill liners - case study 100 in Canada."
Use of Recycled Materials in Landfill Cover Systems - Case Study 101,Amit Patel,2017,Civil Engineering Journal,China,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 101 in China."
AI-Based Prediction Models for Leachate Generation - Case Study 102,Chen Li,2023,Journal of Hazardous Materials,Japan,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 102 in Japan."
Smart Sensor Integration for Leachate Monitoring - Case Study 103,Alex Tan,2016,Journal of Hazardous Materials,Brazil,Effect,"This study explores the effect aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 103 in Brazil."
Performance of Geosynthetic Clay Liners in Landfill Systems - Case Study 104,John Doe,2019,Waste Management,India,Design,"This study explores the design aspects of engineered landfills, focusing on performance of geosynthetic clay liners in landfill systems - case study 104 in India."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 105,Maria Garcia,2017,Civil Engineering Journal,Brazil,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 105 in Brazil."
Monitoring Systems for Engineered Landfill Sites - Case Study 106,John Doe,2015,Environmental Geotechnics,Germany,Effect,"This study explores the effect aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 106 in Germany."
Design Optimization of Engineered Landfill Liners - Case Study 107,Lu Wei,2015,Journal of Hazardous Materials,Canada,Design,"This study explores the design aspects of engineered landfills, focusing on design optimization of engineered landfill liners - case study 107 in Canada."
AI-Based Prediction Models for Leachate Generation - Case Study 108,Maria Garcia,2024,Journal of Hazardous Materials,Japan,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 108 in Japan."
Seismic Impact on Landfill Stability - Case Study 109,Fatima Noor,2023,Journal of Hazardous Materials,Brazil,Security,"This study explores the security aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 109 in Brazil."
Smart Sensor Integration for Leachate Monitoring - Case Study 110,David Kim,2017,Civil Engineering Journal,USA,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 110 in USA."
Smart Sensor Integration for Leachate Monitoring - Case Study 111,David Kim,2016,Geotextiles and Geomembranes,Brazil,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 111 in Brazil."
Smart Sensor Integration for Leachate Monitoring - Case Study 112,John Doe,2017,Civil Engineering Journal,Germany,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 112 in Germany."
Performance of Geosynthetic Clay Liners in Landfill Systems - Case Study 113,David Kim,2020,Environmental Geotechnics,UK,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on performance of geosynthetic clay liners in landfill systems - case study 113 in UK."
Use of Recycled Materials in Landfill Cover Systems - Case Study 114,Fatima Noor,2021,Environmental Geotechnics,Australia,Effect,"This study explores the effect aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 114 in Australia."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 115,Rohit Maurya,2023,Waste Management,Japan,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 115 in Japan."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 116,Rohit Maurya,2023,Environmental Geotechnics,Germany,Material,"This study explores the material aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 116 in Germany."
Seismic Impact on Landfill Stability - Case Study 117,Fatima Noor,2018,Waste Management,Japan,Design,"This study explores the design aspects of engineered landfills, focusing on seismic impact on landfill stability - case study 117 in Japan."
Monitoring Systems for Engineered Landfill Sites - Case Study 118,Lu Wei,2020,Journal of Hazardous Materials,France,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 118 in France."
Monitoring Systems for Engineered Landfill Sites - Case Study 119,Fatima Noor,2017,Environmental Geotechnics,Australia,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 119 in Australia."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 120,Rohit Maurya,2018,Environmental Geotechnics,UK,Design,"This study explores the design aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 120 in UK."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 121,Rohit Maurya,2016,Civil Engineering Journal,UK,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 121 in UK."
Monitoring Systems for Engineered Landfill Sites - Case Study 122,Jane Smith,2019,Waste Management,USA,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 122 in USA."
Geotechnical Analysis of Landfill Slope Stability - Case Study 123,Maria Garcia,2024,Geotextiles and Geomembranes,Canada,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 123 in Canada."
Performance of Geosynthetic Clay Liners in Landfill Systems - Case Study 124,Maria Garcia,2022,Journal of Hazardous Materials,China,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on performance of geosynthetic clay liners in landfill systems - case study 124 in China."
Smart Sensor Integration for Leachate Monitoring - Case Study 125,Alex Tan,2022,Journal of Hazardous Materials,Canada,Effect,"This study explores the effect aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 125 in Canada."
AI-Based Prediction Models for Leachate Generation - Case Study 126,Jane Smith,2020,Geotextiles and Geomembranes,Japan,Effect,"This study explores the effect aspects of engineered landfills, focusing on ai-based prediction models for leachate generation - case study 126 in Japan."
Monitoring Systems for Engineered Landfill Sites - Case Study 127,Chen Li,2021,Environmental Geotechnics,Canada,Security,"This study explores the security aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 127 in Canada."
Use of Recycled Materials in Landfill Cover Systems - Case Study 128,Maria Garcia,2020,Geotextiles and Geomembranes,USA,Material,"This study explores the material aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 128 in USA."
Monitoring Systems for Engineered Landfill Sites - Case Study 129,Lu Wei,2023,Journal of Hazardous Materials,Japan,Security,"This study explores the security aspects of engineered landfills, focusing on monitoring systems for engineered landfill sites - case study 129 in Japan."
